,Veloc,Acele,Des_x,Des_y,Des_z,Presn,VelPr,AcePr,F5EEX,F6EES,F8EIX,F7EIS,F9EEX,F10ES,F11EX,F12ES,F13EV,F14EV,F17MS,F18MX,F15MS,F16MX,F19MH,F20MH,F1EBX,F2EBS,F4EBX,F3EBS,01_C,02_A,03_D,04_M
3896,0.26585657,0.06108353,0.17155629,0.42313095,0.13865157,0.5,0.44444444,0.42857143,0.57100341,0.64766247,0.63117772,0.63897259,0.57914937,0.56944763,0.6316438,0.56686159,0.4659062,0.4285539,0.34330097,0.38345899,0.31880796,0.47468251,0.37248736,0.47170126,0.61539311,0.50293335,0.50671929,0.41507314,-1,1,-1,-1
3897,0.24029304,0.05104642,0.1776002,0.36939053,0.11911073,0.5,0.33333333,0.42857143,0.56805199,0.66998796,0.64043642,0.64864653,0.56953319,0.58487151,0.6392995,0.567914,0.48459281,0.45978898,0.32758035,0.37349047,0.31479008,0.46081793,0.36151021,0.46271712,0.63057353,0.51215442,0.50091475,0.44779682,-1,1,-1,-1
3898,0.21473744,0.05940398,0.22082849,0.29619334,0.12066292,0.47619048,0.22222222,0.28571429,0.59464743,0.72287291,0.67248268,0.6829368,0.59444256,0.62042779,0.67555269,0.61458662,0.51209411,0.50197338,0.32511843,0.37118411,0.30279115,0.46684116,0.3574862,0.46475939,0.63749092,0.49793804,0.53842687,0.48086325,-1,1,-1,-1
3899,0.21883517,0.04932596,0.25669697,0.24405896,0.10913497,0.47619048,0.22222222,0.14285714,0.62380771,0.74854354,0.70599405,0.72528962,0.62702693,0.63711121,0.72393299,0.63338103,0.51410281,0.51684314,0.362152,0.38243994,0.33512878,0.49207041,0.38024384,0.49457594,0.64581026,0.51751778,0.56338405,0.53705975,-1,1,-1,-1
3900,0.23573718,0.03946545,0.24929484,0.31944005,0.07294421,0.47619048,0.11111111,0.14285714,0.64413858,0.76270352,0.71569222,0.72418051,0.64088349,0.64778748,0.73893427,0.63854796,0.53633518,0.550739,0.38103864,0.39258447,0.37064598,0.50269805,0.40912711,0.4796569,0.63907771,0.51746983,0.62081532,0.57439195,-1,1,-1,-1
3901,0.22868758,0.04072829,0.19210041,0.3633032,0.04452419,0.5,0.0,0.0,0.6652236,0.74968021,0.7213102,0.72034151,0.65671956,0.63203107,0.74321134,0.64812221,0.55541265,0.56851704,0.39138888,0.40341681,0.39374904,0.49451183,0.42007936,0.48689534,0.63558371,0.54723345,0.66704401,0.61533679,-1,1,-1,-1
3902,0.22508507,0.03373806,0.17099433,0.36942195,0.02750784,0.52380952,0.11111111,0.14285714,0.64182038,0.75741138,0.72011534,0.70768591,0.64036723,0.63328548,0.72326354,0.64849157,0.57281654,0.58856742,0.38445407,0.39715293,0.3999907,0.47912888,0.41861739,0.47158591,0.63618876,0.53411815,0.71448674,0.63603771,-1,1,-1,-1
3903,0.18289983,0.03998039,0.14615995,0.29526737,0.01449972,0.54761905,0.11111111,0.28571429,0.6464476,0.77082505,0.73597528,0.71442057,0.63800759,0.64281089,0.73510269,0.65596202,0.6011767,0.60678332,0.4025046,0.38775193,0.41786938,0.47020728,0.42168647,0.47985754,0.64381848,0.53211732,0.75902105,0.67406661,-1,1,-1,-1
3904,0.20599407,0.06543819,0.18916904,0.25441524,0.01684701,0.54761905,0.22222222,0.42857143,0.67144622,0.78402697,0.75701994,0.72557747,0.65635072,0.65889299,0.75950941,0.66463963,0.62878268,0.62074821,0.43922341,0.39630547,0.45955376,0.47576592,0.44787297,0.49458985,0.61698368,0.54045778,0.82961083,0.70421047,-1,1,-1,-1
3905,0.15691143,0.10342348,0.12092498,0.22638062,0.03687538,0.54761905,0.22222222,0.57142857,0.65904608,0.7665769,0.73582564,0.69792004,0.63782556,0.65404904,0.73528432,0.64042742,0.65107791,0.6476496,0.44947248,0.3905961,0.47711458,0.45083669,0.4481832,0.49998744,0.62627605,0.56336318,0.81804517,0.72090759,-1,1,-1,-1
